time,CAN_ID,CAN_byte[0],CAN_byte[1],CAN_byte[2],CAN_byte[3],CAN_byte[4],CAN_byte[5],CAN_byte[6],CAN_byte[7],RPM,Gear,BatteryVoltage,OilPressure,Speed,TPS,SteeringAngle,ECU_GForceLat,Lambda,MAP,FuelPressure,BrakePressure,EngineTemp,OilTemp,AirTemp,RadOutTemp,GPSlatHW,GPSlatLW,GPSlongHW,GPSlongLW,PneuDianteiroInner,PneuDianteiroCenter,PneuDianteiroOuter,PneuTraseiroInner,PneuTraseiroCenter,PneuTraseiroOuter
79717,1000,3,3,1,1,1,6,6,2,771.0,257.0,2.62,1.538,26.2,128.5,128.7,0.77,2.05,51.5,0.521,18.01,154.4,26.1,51.8,77.0,264.0,1025.0,1283.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0
79748,1006,1,6,2,6,4,3,1,5,771.0,257.0,2.62,1.538,26.2,128.5,128.7,0.77,2.05,51.5,0.521,18.01,154.4,26.1,51.8,77.0,264.0,1025.0,1283.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0
80462,1002,7,3,1,4,1,1,6,8,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.795,26.0,0.257,15.44,103.2,231.1,205.5,52.0,1025.0,777.0,775.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
80493,1010,8,1,7,3,4,7,1,8,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.795,26.0,0.257,15.44,204.9,179.5,103.1,26.4,1025.0,777.0,775.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
80679,1005,9,3,3,4,4,3,6,9,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.795,26.0,0.257,15.44,77.7,102.9,153.8,179.7,1025.0,777.0,775.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
80710,1004,1,5,3,4,5,9,2,1,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.795,26.0,0.257,15.44,77.7,102.9,153.8,179.7,1025.0,777.0,775.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
80834,1010,3,4,4,7,7,9,8,9,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.795,26.0,0.257,15.44,77.2,103.1,180.1,205.7,1031.0,772.0,1801.0,2313.0,0.0,0.0,0.0,0.0,0.0,0.0
80865,1003,5,6,7,6,2,2,4,9,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.795,26.0,0.257,15.44,77.2,103.1,180.1,205.7,1286.0,1798.0,514.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0
81082,1010,5,9,7,8,5,2,1,3,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.283,230.9,0.261,23.06,128.9,180.0,128.2,25.9,1286.0,1798.0,514.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0
81113,1005,3,9,1,5,8,9,1,3,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.283,230.9,0.261,23.06,128.9,180.0,128.2,25.9,1286.0,1798.0,514.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0
81206,1007,3,6,2,2,6,4,7,7,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.283,230.9,0.261,23.06,128.9,180.0,128.2,25.9,519.0,770.0,1289.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
81238,1005,5,2,9,1,4,3,5,1,515.0,1543.0,23.11,0.263,128.9,231.3,230.9,1.027,1.283,230.9,0.261,23.06,128.9,180.0,128.2,25.9,519.0,770.0,1289.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
81517,1010,4,6,8,9,6,7,9,7,515.0,1543.0,23.11,0.263,205.2,77.3,128.7,1.288,1.283,230.9,0.261,23.06,103.0,205.7,154.3,231.1,519.0,770.0,1289.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
81548,1001,8,1,7,7,1,6,6,8,515.0,1543.0,23.11,0.263,204.9,179.9,26.2,1.544,1.283,230.9,0.261,23.06,103.0,205.7,154.3,231.1,519.0,770.0,1289.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
81703,1001,3,1,8,6,8,6,9,5,515.0,1543.0,23.11,0.263,76.9,205.4,205.4,2.309,1.283,230.9,0.261,23.06,128.6,26.2,154.2,51.5,519.0,770.0,1289.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
81734,1005,7,6,4,7,3,4,8,7,515.0,1543.0,23.11,0.263,76.9,205.4,205.4,2.309,1.283,230.9,0.261,23.06,128.6,26.2,154.2,51.5,519.0,770.0,1289.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
81889,1007,2,6,1,7,5,1,4,8,515.0,1543.0,23.11,0.263,77.7,51.8,128.3,0.777,1.283,230.9,0.261,23.06,128.6,26.2,154.2,51.5,776.0,521.0,2311.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0
81920,1002,9,2,7,1,6,6,9,8,515.0,1543.0,23.11,0.263,77.7,51.8,128.3,0.777,2.306,179.3,1.542,23.12,128.6,26.2,154.2,51.5,776.0,521.0,2311.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0
82230,1002,3,3,3,3,5,3,2,4,515.0,1543.0,23.11,0.263,205.1,77.6,153.9,2.052,0.771,77.1,1.283,5.16,153.7,103.0,180.1,204.9,2311.0,1798.0,1286.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0
82262,1006,3,8,6,7,8,4,2,9,515.0,1543.0,23.11,0.263,205.1,77.6,153.9,2.052,0.771,77.1,1.283,5.16,153.7,103.0,180.1,204.9,2311.0,1798.0,1286.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0
82448,1010,6,9,9,7,7,8,8,3,515.0,1543.0,23.11,0.263,230.9,26.0,52.0,0.516,0.771,77.1,1.283,5.16,154.5,231.1,180.0,205.1,2311.0,1798.0,1286.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0
